release_day,title,video_url,instructions,solution,filename
2,Week 1 Day 2 Lesson 2: User input,https://vimeo.com/841391080/6c5d4a0e16,"In your `prework-exercises` repository, make a file called `122.rb` ([example video](/create_a_ruby_file.gif)).  
Paste the code below and answer the following questions:
```
# QUESTION 1
# Write code that asks the user for their name, then asks for their favorite color, 
# then prints out back to them their name and favorite color in a sentence.


# QUESTION 2
# The following code has a mistake on one line that doesn't cause the program to crash,
# but it causes the program to have the wrong output.
# Explain where the mistake is occurring, then fix the code
# (this may require changing more than one line).
puts ""Please enter a number:""
number = gets.chomp
doubled_number = number * 2
puts ""The doubled number is "" + doubled_number
```
Commit your code and push your changes to GitHub ([example video](https://drive.google.com/file/d/14BVeFOXQQLiVkGgV8-gBCLEQjJIghPAt/vie ).","# QUESTION 1
# Write code that asks the user for their name, then asks for their favorite color, 
# then prints out back to them their name and favorite color in a sentence.
puts ""What is your name?""
name = gets.chomp
puts ""What is your favorite color?""
color = gets.chomp
puts ""Hello "" + name + "", your favorite color is "" + color + ""!""

# QUESTION 2
# The following code has a mistake on one line that doesn't cause the program to crash,
# but it causes the program to have the wrong output.
# Explain where the mistake is occurring, then fix the code
# (this may require changing more than one line).
puts ""Please enter a number:""
number = gets.chomp.to_i # gets.chomp returns a string, add .to_i here
doubled_number = number * 2
puts ""The doubled number is "" + doubled_number.to_s # change it back to a string",122.rb
2,Week 1 Day 2 Lesson 3: Booleans,https://vimeo.com/841391094/9ccc5e4fbd,"In your `prework-exercises` repository, make a file called `123.rb` ([example video](/create_a_ruby_file.gif)).  
Paste the code below and answer the following questions:
```
# QUESTION 1
# Write code to store a number in a variable called age. 
# Then write an expression that prints true if the value of the variable age 
# is less than or equal to 21, otherwise it prints false.


# QUESTION 2
# The code below is supposed to get a percent from the user, 
# then it should print true if the percent is an A (a 90 or above), 
# otherwise it should print false. 
# However, there are two bugs in the code, 
# one that causes it to crash and one that causes an incorrect output. 
# Fix the bugs.
puts ""Enter a percent and I'll tell if you if it's an A:""
input_percent = gets.chomp
puts input_percent > 90
```
Commit your code and push your changes to GitHub ([example video](/github_commit_and_push.gif)).","# QUESTION 1
# Write code to store a number in a variable called age. 
# Then write an expression that prints true if the value of the variable age 
# is less than or equal to 21, otherwise it prints false.
age = 100
puts age <= 21

# QUESTION 2
# The code below is supposed to get a percent from the user, 
# then it should print true if the percent is an A (a 90 or above), 
# otherwise it should print false. 
# However, there are two bugs in the code, 
# one that causes it to crash and one that causes an incorrect output. 
# Fix the bugs.
puts ""Enter a percent and I'll tell if you if it's an A:""
input_percent = gets.chomp.to_i
puts input_percent >= 90",123.rb
2,Week 1 Day 2 Lesson 4: Conditionals,https://vimeo.com/841391113/b363363f4e,"In your `prework-exercises` repository, make a file called `124.rb` ([example video](/create_a_ruby_file.gif)).  
Paste the code below and answer the following questions:
```
# QUESTION 1
# Write code to store a number in a variable.
# Then write a condition that 
# prints -1 if the number is less than 10, 
# prints 1 if the number is greater than 10, 
# and prints 0 if the number is equal to 10.


# QUESTION 2
# There are two mistakes with the code below. 
# One mistake will cause the code to crash. 
# The other mistake doesn't cause the code to crash, but it is unnecessary code. 
# Fix both mistakes.
if x < 5
  puts 0
else x < 50
  puts 1
elsif x < 100
  puts 2
end
```
Commit your code and push your changes to GitHub ([example video](/github_commit_and_push.gif)).","# QUESTION 1
# Write code to store a number in a variable.
# Then write a condition that 
# prints -1 if the number is less than 10, 
# prints 1 if the number is greater than 10, 
# and prints 0 if the number is equal to 10.
x = 10
if x < 10
  puts -1
elsif x > 10
  puts 1
else
  puts 0
end

# QUESTION 2
# There are two mistakes with the code below. 
# One mistake will cause the code to crash. 
# The other mistake doesn't cause the code to crash, but it is unnecessary code. 
# Fix both mistakes.
x = 100
if x < 5
  puts 0
elsif x < 50
  puts 1
else
  puts 2
end",124.rb
2,Week 1 Day 2 Optional Additional Resources,,"Read the following chapters of the ""Learn to Program"" book to review methods.
- https://pine.fm/LearnToProgram/chap_04.html
- https://pine.fm/LearnToProgram/chap_05.html",,
3,Week 1 Day 3 Lesson 1: Loops to repeat code,https://vimeo.com/841391161/20bc3b4477,"In your `prework-exercises` repository, make a file called `131.rb` ([example video](/create_a_ruby_file.gif)).  
Paste the code below and answer the following questions:
```
# QUESTION 1
# Write code using a while loop to print the phrase ""Around the world"" 144 times.


# QUESTION 2
# The following code is supposed to print the numbers 1 to 10, but it currently doesn't work. 
# Find and fix all the mistakes in the code.
while x < 10
  x = 1
  x = x + 1
end
```
Commit your code and push your changes to GitHub ([example video](/github_commit_and_push.gif)).","# QUESTION 1
# Write code using a while loop to print the phrase ""Around the world"" 144 times.
count = 0
while count < 144
  puts ""Around the world""
  count = count + 1
end

# QUESTION 2
# The following code is supposed to print the numbers 1 to 10, but it currently doesn't work. 
# Find and fix all the mistakes in the code.
x = 1
while x <= 10
  puts x
  x = x + 1
end",131.rb
3,Week 1 Day 3 Lesson 2: Annotating loops,https://vimeo.com/841391206/d81d76c9ba,"In your `prework-exercises` repository, make a file called `132.rb` ([example video](/create_a_ruby_file.gif)).  
Paste the code below and answer the following questions:
```
# QUESTION 1
# Finish annotating the code below.
# Then run the code to see if the output matches your annotation.
word = ""hi""           # 1
index = 0             # 2
while index < 2       # 
  word = word + word  # 
  index = index + 1   # 
end
p word                # 

# 1: word is ""hi""
# 2: word is ""hi"", index is 0
# 3: 
# 4:
# 5: 
# 6: 
# 7: 
# 8: 
# 9: 
# 10: 


# QUESTION 2
# Finish annotating the code below.
# Then run the code to see if the output matches your annotation.
index = 0             # 1
while index > 2       # 2
  puts index          # 
  index = index + 1   # 
end 
puts ""Done!""          # 

# 1: 
# 2: 
# 3: 
```
Commit your code and push your changes to GitHub ([example video](/github_commit_and_push.gif)).","# QUESTION 1
# Finish annotating the code below.
# Then run the code to see if the output matches your annotation.
word = ""hi""           # 1
index = 0             # 2
while index < 2       # 3 6 9
  word = word + word  # 4 7
  index = index + 1   # 5 8
end
p word                #     10

# 1: word is ""hi""
# 2: word is ""hi"", index is 0
# 3: (0 is less than 2, continue)
# 4: word is ""hihi"", index is 0
# 5: word is ""hihi"", index is 1
# 6: (1 is less than 2, continue)
# 7: word is ""hihihihi"", index is 1
# 8: word is ""hihihihi"", index is 2
# 9: (2 is not less than 2, end the loop)
# 10: (print ""hihihihi"")


# QUESTION 2
# Finish annotating the code below.
# Then run the code to see if the output matches your annotation.
index = 0             # 1
while index > 2       # 2
  puts index          # 
  index = index + 1   # 
end 
puts ""Done!""          # 3

# 1: index is 0
# 2: (0 is not greater than 2, end the loop)
# 3: (puts ""Done!"")",132.rb
3,Week 1 Day 3 Lesson 3: Loops with conditionals,https://vimeo.com/841391275/54e8503802,"In your `prework-exercises` repository, make a file called `133.rb` ([example video](/create_a_ruby_file.gif)).  
Paste the code below and answer the following questions:
```
# QUESTION 1
# Write a program that uses a while loop to print the numbers from 1 to 20.
# If the number is 7 or 15, it should also print out ""Hey, that's my lucky number!""


# QUESTION 2
# Finish annotating the code below.
# Then run the code to see if the output matches your annotation.
number = 0             # 1
while 2 > number       # 2 
  if number < 1        # 
    puts number        #  
  end
  number = number + 1  # 
end
puts ""Done!""           # 

# 1: number is 0
# 2: (2 is greater than 0, continue)
# 3: 
# 4: 
# 5: 
# 6: 
# 7: 
# 8: 
# 9: 
# 10: 
```
Commit your code and push your changes to GitHub ([example video](/github_commit_and_push.gif)).","# QUESTION 1
# Write a program that uses a while loop to print the numbers from 1 to 20.
# If the number is 7 or 15, it should also print out ""Hey, that's my lucky number!""
number = 1
while number <= 20
  if number == 7
    puts ""Hey, that's my lucky number!""
  elsif number == 15
    puts ""Hey, that's my lucky number!""
  end
  number = number + 1
end

# QUESTION 2
# Finish annotating the code below.
# Then run the code to see if the output matches your annotation.
number = 0             # 1
while 2 > number       # 2 6 9
  if number < 1        # 3 7
    puts number        # 4
  end
  number = number + 1  # 5 8
end
puts ""Done!""           #     10

# 1: number is 0
# 2: (2 is greater than 0, continue)
# 3: (0 is less than 1, continue)
# 4: (print 0)
# 5: number is 1
# 6: (2 is greater than 1, continue)
# 7: (1 is not less than 1, end the condition)
# 8: number is 2
# 9: (2 is not greater than 2, end the loop)
# 10: (print ""Done!"")",133.rb
3,Week 1 Day 3 Lesson 4: Loops with the break statement,https://vimeo.com/841391349/7e1e232562,"In your `prework-exercises` repository, make a file called `134.rb` ([example video](/create_a_ruby_file.gif)).  
Paste the code below and answer the following questions:
```
# QUESTION 1
# Write code using a while loop that asks the user to enter a number 
# and will run forever until the user enters a number greater than 10.


# QUESTION 2
# The following code will run 100 times, and each time it will ask the user for their name. 
# The code will break early if the user's name is Bob.
# Rewrite the code using a while loop so the program will run *forever* unless 
# the user enters a name of Bob.
index = 0
while index < 100
  puts ""What is your name?""  
  name = gets.chomp
  if name == ""Bob""
    break
  end
  index = index + 1
end
puts ""Hi, Bob!""
```
Commit your code and push your changes to GitHub ([example video](/github_commit_and_push.gif)).","# QUESTION 1
# Write code using a while loop that asks the user to enter a number 
# and will run forever until the user enters a number greater than 10.
while true
  puts ""Enter a number:""
  number = gets.chomp.to_i
  if number > 10
    break
  end
end

# QUESTION 2
# The following code will run 100 times, and each time it will ask the user for their name. 
# The code will break early if the user's name is Bob.
# Rewrite the code using a while loop so the program will run *forever* unless 
# the user enters a name of Bob.
while true
  puts ""What is your name?""  
  name = gets.chomp
  if name == ""Bob""
    break
  end
end
puts ""Hi, Bob!""",134.rb
3,Week 1 Day 3 Optional Additional Resources,,"Read the following chapter of the ""Learn to Program"" book to review conditionals and loops.
- https://pine.fm/LearnToProgram/chap_06.html",,
4,Week 1 Day 4 Lesson 1: Arrays to store lists of data,https://vimeo.com/841391394/badbf1f527,"In your `prework-exercises` repository, make a file called `141.rb`.  
Paste the code below and answer the following questions:
```
# QUESTION 1
# Finish annotating the code below.
x = 0                                  # 1
names = [""Saron"", ""Majora"", ""Danilo""]  # 2
names[1] = ""Bob""                       # 
x = names[2]                           # 
names[0] = x                           # 
x = ""Charlie""                          # 

# 1: x is 0
# 2: x is 0, names is [""Saron"", ""Majora"", ""Danilo""]


# QUESTION 2
# Find and fix the mistakes in the code below.
items [3, 2, 3 2]
pp items
```
Commit your code and push your changes to GitHub.","# QUESTION 1
# Finish annotating the code below.
x = 0                                  # 1
names = [""Saron"", ""Majora"", ""Danilo""]  # 2
names[1] = ""Bob""                       # 3
x = names[2]                           # 4
names[0] = x                           # 5
pp names                               # 6

# 1: x is 0
# 2: x is 0, names is [""Saron"", ""Majora"", ""Danilo""]
# 3: x is 0, names is [""Saron"", ""Bob"", ""Danilo""]
# 4: x is ""Danilo"", names is [""Saron"", ""Bob"", ""Danilo""]
# 5: x is ""Danilo"", names is [""Danilo"", ""Bob"", ""Danilo""]
# 6: print [""Danilo"", ""Bob"", ""Danilo""]


# QUESTION 2
# Find and fix the mistakes in the code below.
items = [3, 2, 3, 2]
pp items",141.rb
4,Week 1 Day 4 Lesson 2: Arrays with loops,https://vimeo.com/841391437/5bc7a7fa16,"In your `prework-exercises` repository, make a file called `142.rb`.  
Paste the code below and answer the following questions:
```
# QUESTION 1
# Write a program that starts with an array of strings, 
# then prints out each string on separate lines using a while loop.



# QUESTION 2
# Write a program that starts with an array of numbers, 
# then prints out each number times 3 using a while loop.
```
Commit your code and push your changes to GitHub.","# QUESTION 1
# Write a program that starts with an array of strings, 
# then prints out each string on separate lines using a while loop.
words = [""one"", ""two"", ""three""]
index = 0
while index < words.length
  puts words[index]
  index = index + 1
end


# QUESTION 2
# Write a program that starts with an array of numbers, 
# then prints out each number times 3 using a while loop.
numbers = [1, 2, 3]
index = 0
while index < numbers.length
  puts numbers[index] * 3
  index = index + 1
end",142.rb
4,Week 1 Day 4 Lesson 3: Hashes to store values by associated keys,https://vimeo.com/841391494/8c4c9a6157,"In your `prework-exercises` repository, make a file called `143.rb`.  
Paste the code below and answer the following questions:
```
# QUESTION 1
# Start with the hash below. In the following lines, add the populations for 
# New York City (8.4 million) and San Francisco (800,000).
city_populations = { ""Chicago"" => 2700000 }  # (don't change this line)
# Your code goes here

p city_populations


# QUESTION 2
# The following code should print ""I have 2 dogs!"" if the number of dogs
# in the my_pets hash equals 2. However, the code doesn't work.
# Explain why the code doesn't work and fix the mistake.
my_pets = { ""dogs"" => 2, ""cats"" => 1, ""fish"" => 5 }
if my_pets[2] == ""dogs""
  puts ""I have 2 dogs!""
end
```
Commit your code and push your changes to GitHub.","# QUESTION 1
# Start with the hash below. In the following lines, add the populations for 
# New York City (8.4 million) and San Francisco (800,000).
city_populations = { ""Chicago"" => 2700000 }  # (don't change this line)
# Your code goes here
city_populations[""New York City""] = 8400000
city_populations[""San Francisco""] = 800000
pp city_populations


# QUESTION 2
# The following code should print ""I have 2 dogs!"" if the number of dogs
# in the my_pets hash equals 2. However, the code doesn't work.
# Explain why the code doesn't work and fix the mistake.
my_pets = { ""dogs"" => 2, ""cats"" => 1, ""fish"" => 5 }
if my_pets[""dogs""] == 2 # my_pets[2] == ""dogs"" is backwards
  puts ""I have 2 dogs!""
end",143.rb
4,Week 1 Day 4 Lesson 4: Hashes to represent a single item,https://vimeo.com/841391522/8790104f04,"In your `prework-exercises` repository, make a file called `144.rb`.  
Paste the code below and answer the following questions:
```
# QUESTION 1
# Make an array called cars with three hashes to define three different cars. 
# Each car should have a make (brand), model, color, and year. 
# (Example: a silver 2006 Honda Accord, Honda is the make, Accord is the model)


# QUESTION 2
# The following code should print the age of the first student in the array.
# However, the code doesn't work. Fix the mistakes in the code.
students = [
  { ""name"" => ""Maria"", ""age"" => 20, ""major"" => ""Computer Science"" },
  { ""name"" => ""Sofia"", ""age"" => 21, ""major"" => ""Mathematics"" },
  { ""name"" => ""Jayden"", ""age"" => 19, ""major"" => ""Biology"" }
]
puts student[""age""]
```
Commit your code and push your changes to GitHub.","# QUESTION 1
# Make an array called cars with three hashes to define three different cars. 
# Each car should have a make (brand), model, color, and year. 
# (Example: a silver 2006 Honda Accord, Honda is the make, Accord is the model)
cars = [
  {""make"" => ""Honda"", ""model"" => ""Accord"", ""color"" => ""silver"", ""year"" => 2006},
  {""make"" => ""Honda"", ""model"" => ""Civic"", ""color"" => ""red"", ""year"" => 2000},
  {""make"" => ""Ford"", ""model"" => ""Explorer"", ""color"" => ""blue"", ""year"" => 1999},
]
pp cars

# QUESTION 2
# The following code should print the age of the first student in the array.
# However, the code doesn't work. Fix the mistakes in the code.
students = [
  { ""name"" => ""Maria"", ""age"" => 20, ""major"" => ""Computer Science"" },
  { ""name"" => ""Sofia"", ""age"" => 21, ""major"" => ""Mathematics"" },
  { ""name"" => ""Jayden"", ""age"" => 19, ""major"" => ""Biology"" }
]
puts students[0][""age""]",144.rb
4,Week 1 Day 4 Optional Additional Resources,,"Read the following chapter of the ""Learn to Program"" book to review arrays.
- https://pine.fm/LearnToProgram/chap_07.html",,
5,Week 1 Day 5 Lesson 1: Custom methods,https://vimeo.com/841391556/cfdcb76f3e,"In your `prework-exercises` repository, make a file called `151.rb`.  
Paste the code below and answer the following questions:
```
# QUESTION 1
# Write a method that prints out any message or design that you choose
# (you can use an ASCII art generator if you want to make it fancy).
# Then run the method three times to see your message display three times.


# QUESTION 2
# When you run the code below, it should print lyrics. 
# However, right now if you run the code, it doesn't print anything. 
# Add the appropriate line of code to make the code run properly.
def print_lyrics
  puts ""Now this is a story all about how""
  puts ""My life got flipped turned upside down""
  puts ""And I'd like to take a minute, just sit right there""
  puts ""I'll tell you how I became the prince of a town called Bel-Air""
end
```
Commit your code and push your changes to GitHub.","# QUESTION 1
# Write a method that prints out any message or design that you choose
# (you can use an ASCII art generator if you want to make it fancy).
# Then run the method three times to see your message display three times.
def display_message
  puts ""HELLO!""
end

display_message
display_message
display_message

# QUESTION 2
# When you run the code below, it should print lyrics. 
# However, right now if you run the code, it doesn't print anything. 
# Add the appropriate line of code to make the code run properly.
def print_lyrics
  puts ""Now this is a story all about how""
  puts ""My life got flipped turned upside down""
  puts ""And I'd like to take a minute, just sit right there""
  puts ""I'll tell you how I became the prince of a town called Bel-Air""
end

print_lyrics",151.rb
5,Week 1 Day 5 Lesson 2: Custom method arguments,https://vimeo.com/841391611/06c2a6a00b,"In your `prework-exercises` repository, make a file called `152.rb`.  
Paste the code below and answer the following questions:
```
# QUESTION 1
# Create a method that accepts three numbers as inputs, 
# and returns the product of all three numbers. 
# So, if the three inputs were 2, 4, and 6, the output should be 48.



# QUESTION 2
# The following method is supposed to take in 3 numbers and return the sum.
# However, there are mistakes in the code that cause it to crash.
# Explain what the error message means in your own words, then fix the mistakes in the code.
def add_three_numbers(number1, number2, number3)
  return number1 + number2 + number3
end

numbers = [3, 2, 7]
add_three_numbers(numbers)
```
Commit your code and push your changes to GitHub.","# QUESTION 1
# Create a method that accepts three numbers as inputs, 
# and returns the product of all three numbers. 
# So, if the three inputs were 2, 4, and 6, the output should be 48.
def multiplier(x, y, z)
  return x * y * z
end

puts multiplier(2, 4, 6)

# QUESTION 2
# The following method is supposed to take in 3 numbers and return the sum.
# However, there are mistakes in the code that cause it to crash.
# Explain what the error message means in your own words, then fix the mistakes in the code.
def add_three_numbers(number1, number2, number3)
  return number1 + number2 + number3
end

numbers = [3, 2, 7]
# add_three_numbers(numbers)
# `add_three_numbers': wrong number of arguments (given 1, expected 3) (ArgumentError)
# You have to give the method 3 numbers, not 1 array with 3 numbers in it
puts add_three_numbers(numbers[0], numbers[1], numbers[2])",152.rb
5,Week 1 Day 5 Lesson 3: Custom classes,https://vimeo.com/841391660/3dc51bb0f2,"In your `prework-exercises` repository, make a file called `153.rb`.  
Paste the code below and answer the following questions:
```
# QUESTION 1
# Create a hash called cat to store the cat's name, breed, and age. Then print the hash.
# Create a Cat class which stores a cat's name, breed, and age. Print an instance of the cat class.


# QUESTION 2
# The following code has several mistakes that cause it to crash and not run properly.
# Fix the mistakes to make sure the code runs properly.
class StoreItem
  def new(input_name, input_price)
    @name = input_name
    @price = input_price
  end
end

StoreItem = store_item.new(""chair"", 100)
pp StoreItem
```
Commit your code and push your changes to GitHub.","# QUESTION 1
# Create a hash called cat to store the cat's name, breed, and age. Then print the hash.
# Create a Cat class which stores a cat's name, breed, and age. Print an instance of the cat class.
cat = { ""name"" => ""Garfield"", ""breed"" => ""Tabby"", ""age"" => ""unknown""}
pp cat
class Cat
  def initialize(input_name, input_breed, input_age)
    @name = input_name
    @breed = input_breed
    @age = input_age
  end
end
cat = Cat.new(""Garfield"", ""Tabby"", ""unknown"")
pp cat

# QUESTION 2
# The following code has several mistakes that cause it to crash and not run properly.
# Fix the mistakes to make sure the code runs properly.
class StoreItem
  def initialize(input_name, input_price)
    @name = input_name
    @price = input_price
  end
end

store_item = StoreItem.new(""chair"", 100)
pp store_item",153.rb
